Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg,Market_Inventory_Total,Market_Dealers_Total,Inventory_per_Person,Dealers_per_Person,People_per_Car,People_per_Dealer
NO,44.401595196903,-97.408539784184,47.297443242278376,41.50427344057631,-93.37144271380252,-101.4456368545655,29,0,"(44.401595196902996, -97.40853978418401)",3232952.0,29_0_no,326.0,0.0001008366347536,0.0001008366347536,1.0,44285.0,936.0,0.013698007270135776,0.00028951868137850484,73.00331940837755,3454.008547008547
NO,44.689348307377166,-105.50250517876512,47.58504999623019,41.79217277165041,-101.44553745887488,-109.55947289865536,30,0,"(44.689348307377166, -105.50250517876512)",758347.0,30_0_no,52.0,6.857019280092096e-05,6.857019280092096e-05,1.0,6978.0,178.0,0.009201592410862046,0.00023472104458776788,108.676841501863,4260.376404494382
NO,44.98000145605714,-113.63671308159262,47.87555537515475,42.08297370377586,-109.5593699674183,-117.71405619576691,31,0,"(44.98000145605714, -113.63671308159262)",2111756.0,31_0_no,108.0,5.114227211855915e-05,5.114227211855915e-05,1.0,26669.0,520.0,0.012628826436387536,0.00024624056945972926,79.1839214068769,4061.0692307692307
NO,45.27361351621008,-121.81219196210554,48.16901823969469,42.37673512740273,-117.7139495493296,-125.91043437488148,32,0,"(45.273613516210084, -121.81219196210554)",10002621.0,32_0_no,256.0,2.559329199816728e-05,2.559329199816728e-05,1.0,82320.0,1519.0,0.008229842958160666,0.00015186019744225037,121.50900145772594,6585.003949967084
YES,24.06211744298564,-80.53811943508434,26.9675750030994,21.15555757677729,-77.37385857094623,-83.70238029922245,0,0,"(24.06211744298564, -80.53811943508434)",7113654.0,0_0_yes,156.0,2.1929658091326906e-05,2.1929658091326906e-05,1.0,73560.0,1513.0,0.010340677238448764,0.00021268956853960004,96.70546492659054,4701.688037012558
YES,24.45911567004132,-99.55294390555952,27.36441508923079,21.55270043397981,-96.37886160153968,-102.72702620957938,3,0,"(24.45911567004132, -99.55294390555953)",1388228.0,3_0_yes,23.0,1.656788366176161e-05,1.656788366176161e-05,1.0,4688.0,139.0,0.003376966895927758,0.00010012764473847235,296.1237201365188,9987.25179856115
YES,29.61364718091892,-78.21220324728209,32.51674785706263,26.70927585146966,-74.89000658627297,-81.5343999082912,9,0,"(29.61364718091892, -78.21220324728209)",2410486.0,9_0_yes,144.0,5.973899039446817e-05,5.973899039446817e-05,1.0,55035.0,1346.0,0.022831495391385803,0.0005583936185482928,43.79914599800127,1790.851411589896
YES,29.78093937221572,-84.86207438072142,32.68396460288321,26.876639134228853,-81.5343813008952,-88.18976746054764,10,0,"(29.780939372215713, -84.86207438072142)",8846616.0,10_0_yes,439.0,4.962349445256808e-05,4.962349445256808e-05,1.0,98199.0,2265.0,0.01110017660990372,0.0002560301023577829,90.08865670729844,3905.790728476821
YES,29.94936664348675,-91.52302236615397,32.85231568516553,27.04513825530027,-88.18974850511702,-94.85629622719088,11,0,"(29.94936664348675, -91.52302236615395)",6391851.0,11_0_yes,279.0,4.364932787075293e-05,4.364932787075293e-05,1.0,49287.0,1135.0,0.007710911909554838,0.0001775698463559304,129.6863473126788,5631.586784140969
YES,30.11894049492604,-98.19521759968956,33.02181259684428,27.21478472289408,-94.85627691502845,-101.5341582843507,12,0,"(30.118940494926033, -98.19521759968957)",18175908.0,12_0_yes,603.0,3.3175784120386175e-05,3.3175784120386175e-05,1.0,161629.0,3959.0,0.00889248559136633,0.00021781580320498982,112.45449764584326,4591.035109876231
YES,30.28967262256056,-104.87883388158907,33.19246702661963,27.38559024113889,-101.53413860647574,-108.22352915670244,13,0,"(30.28967262256056, -104.87883388158909)",1521363.0,13_0_yes,48.0,3.155065556346513e-05,3.155065556346513e-05,1.0,11942.0,250.0,0.00784954018206043,0.00016432633105971421,127.39599732038185,6085.452
YES,30.461574923247607,-111.57404850654945,33.36429086395401,27.55756671507997,-108.22350910383928,-114.9245879092596,14,0,"(30.461574923247607, -111.57404850654945)",2278971.0,14_0_yes,44.0,1.9306959149546e-05,1.9306959149546e-05,1.0,15405.0,286.0,0.006759629674971731,0.000125495234472049,147.93709834469328,7968.43006993007
YES,30.6346594998397,-118.28104235706589,33.537296204236526,27.73072625584526,-114.92456747182553,-121.63751724230622,15,0,"(30.6346594998397, -118.28104235706587)",3410989.0,15_0_yes,69.0,2.0228737178571963e-05,2.0228737178571963e-05,1.0,24722.0,607.0,0.007247751312009508,0.0001779542531506258,137.973828978238,5619.421746293246
YES,35.13010511991021,-75.12678686468352,38.03061147156171,32.228208414503335,-71.59681243120563,-78.65676129816141,18,0,"(35.13010511991021, -75.12678686468352)",4507415.0,18_0_yes,227.0,5.0361459949882585e-05,5.0361459949882585e-05,1.0,44359.0,1197.0,0.009841339215492694,0.00026556241215863193,101.61218692937172,3765.593149540518
YES,35.33703858403743,-82.19565446071371,38.23744397289634,32.43523933732075,-78.65672708303828,-85.73458183838915,19,0,"(35.33703858403743, -82.19565446071371)",24007764.0,19_0_yes,954.0,3.973714503358164e-05,3.973714503358164e-05,1.0,214185.0,5341.0,0.008921488898341387,0.0002224696977194544,112.08891378948105,4494.994195843475
YES,35.54555865679156,-89.28258871146998,38.44586209235348,32.64385790645461,-85.73454682885925,-92.83063059408072,20,0,"(35.545558656791556, -89.28258871146998)",10795660.0,20_0_yes,580.0,5.372529331231254e-05,5.372529331231254e-05,1.0,89151.0,2291.0,0.008258040731182716,0.00021221490858363453,121.09409877623358,4712.204277608032
YES,35.75568571565712,-96.387916724754,38.655886197932055,32.85408451042114,-92.83059476464403,-99.94523868486398,21,0,"(35.755685715657116, -96.387916724754)",10359990.0,21_0_yes,458.0,4.42085368808271e-05,4.42085368808271e-05,1.0,94228.0,2220.0,0.009095375574686848,0.00021428592112540649,109.94598208600416,4666.6621621621625
YES,35.96744059478129,-103.5119737665524,38.86753711421174,33.06593999452036,-99.94520200894613,-107.07874552415866,22,0,"(35.96744059478129, -103.51197376655239)",2473998.0,22_0_yes,115.0,4.648346522511336e-05,4.648346522511336e-05,1.0,22731.0,543.0,0.00918796215680045,0.0002194827966716222,108.83806255774053,4556.165745856353
YES,36.18084460007413,-110.6551035381131,39.08083613745279,33.27944567593803,-107.07870797405458,-114.2314991021716,23,0,"(36.18084460007413, -110.6551035381131)",2933415.0,23_0_yes,118.0,4.02261527946097e-05,4.02261527946097e-05,1.0,47457.0,943.0,0.016178072315032137,0.00032146832275692323,61.81206144509767,3110.7264050901376
YES,36.39591952496268,-117.817658465174,39.2958050513497,33.49462335950107,-114.23146064898572,-121.40385628136228,24,0,"(36.39591952496268, -117.81765846517399)",24765758.0,24_0_yes,532.0,2.148127265073009e-05,2.148127265073009e-05,1.0,163251.0,3451.0,0.00659180308553447,0.0001393456239053939,151.70356077451288,7176.4004636337295
YES,36.61268766683365,-125.0,39.51246614347371,33.71149535412213,-121.40381689494484,-128.59618310505516,25,0,"(36.61268766683365, -125.0)",7984365.0,25_0_yes,179.0,2.2418814771118305e-05,2.2418814771118305e-05,1.0,49225.0,1197.0,0.006165174062057533,0.00014991799598340006,162.20142204164551,6670.31328320802
YES,40.59895007659696,-71.0654393139149,43.496730898218345,37.6997112952206,-67.26514102612975,-74.86573760170003,26,0,"(40.598950076596964, -71.0654393139149)",33740791.0,26_0_yes,1194.0,3.538743356668787e-05,3.538743356668787e-05,1.0,247887.0,5387.0,0.007346804643672995,0.00015965837908186564,136.11359611435856,6263.3731204752185
YES,40.85086148046825,-78.68028609602923,43.74851469288207,37.95174846435297,-74.86567418575683,-82.49489800630164,27,0,"(40.85086148046825, -78.68028609602923)",32493277.0,27_0_yes,1578.0,4.856389215529108e-05,4.856389215529108e-05,1.0,273777.0,6281.0,0.008425650635360663,0.00019330152511241018,118.68519634593117,5173.2649259672025
YES,41.10501656091381,-86.3240706883328,44.00254092198722,38.20603065048672,-82.49483271560001,-90.15330866106558,28,0,"(41.10501656091381, -86.3240706883328)",34476229.0,28_0_yes,1518.0,4.403033754068637e-05,4.403033754068637e-05,1.0,322434.0,6323.0,0.009352356952960255,0.00018340172876795777,106.92491796770813,5452.511307923454
YES,41.36145271860173,-93.9974277699252,44.25884697468452,38.46259526874666,-90.15324141725938,-97.841614122591,29,0,"(41.36145271860173, -93.9974277699252)",8788872.0,29_0_yes,720.0,8.192177562717946e-05,8.192177562717946e-05,1.0,105908.0,2343.0,0.012050238073782393,0.00026658711152011317,82.98591230124259,3751.1190781049936
YES,41.620208461307,-101.70101220289364,44.51747134714787,38.72148084153489,-97.84154484302438,-105.5604795627629,30,0,"(41.620208461307, -101.70101220289364)",1575159.0,30_0_yes,202.0,0.0001282410220174,0.0001282410220174,1.0,48593.0,995.0,0.030849584073734778,0.0006316822619176857,32.41534788961373,1583.0743718592964
YES,41.881323451723766,-109.4354999211424,44.77845369038702,38.982727046345694,-105.560408160175,-113.31059168210982,31,0,"(41.881323451723766, -109.43549992114241)",3709024.0,31_0_yes,118.0,3.181429939520478e-05,3.181429939520478e-05,1.0,33220.0,684.0,0.008956534117870361,0.0001844150914094921,111.65033112582782,5422.549707602339
YES,42.14483855798029,-117.20158886997378,45.04183486076316,39.246374766283566,-113.3105180643153,-121.09265967563223,32,0,"(42.14483855798029, -117.20158886997378)",1199901.0,32_0_yes,51.0,4.250350653928949e-05,4.250350653928949e-05,1.0,16546.0,285.0,0.01378947096468792,0.00023751959536661774,72.51909827148556,4210.178947368421
YES,42.4107959070465,-125.0,45.30765697339708,39.51246614347372,-121.09258374517508,-128.90741625482494,33,0,"(42.4107959070465, -125.0)",1768327.0,33_0_yes,71.0,4.015094493269627e-05,4.015094493269627e-05,1.0,15914.0,349.0,0.008999466727590541,0.0001973616870635352,111.11769511122283,5066.839541547278
YES,46.306629151244174,-74.02570597969532,49.20150981487808,43.410276642500925,-69.85131591980227,-78.20009603958836,34,0,"(46.306629151244174, -74.02570597969532)",1032800.0,34_0_yes,172.0,0.0001665375677769,0.0001665375677769,1.0,16651.0,462.0,0.016122192099147947,0.00044732765298218435,62.02630472644286,2235.4978354978357
YES,46.61414260146392,-82.39784426599915,49.50886758682501,43.71794668233903,-78.1999703997898,-86.5957181322085,35,0,"(46.61414260146392, -82.39784426599915)",456241.0,35_0_yes,53.0,0.0001161666750686,0.0001161666750686,1.0,6796.0,138.0,0.014895636297483129,0.00030247171999009295,67.13375515008829,3306.0942028985505
YES,46.92497556414085,-90.81759307513174,49.819543375608525,44.02893791213307,-86.59558756098824,-95.03959858927524,36,0,"(46.924975564140844, -90.81759307513174)",5666286.0,36_0_yes,354.0,6.247478507085594e-05,6.247478507085594e-05,1.0,65280.0,1192.0,0.011520773924930722,0.0002103670728939556,86.79972426470589,4753.595637583892
YES,47.23920282249175,-99.28627490823746,50.13361195143764,44.34332513380608,-95.0394628089613,-103.5330870075136,37,0,"(47.23920282249175, -99.28627490823746)",1177087.0,37_0_yes,105.0,8.920326195090082e-05,8.920326195090082e-05,1.0,11146.0,261.0,0.009469138644807053,0.00022173382256366776,105.6062264489503,4509.911877394636
YES,47.55690216863447,-107.80526802616642,50.45115109337502,44.661186158440806,-103.53294571979868,-112.07759033253414,38,0,"(47.556902168634466, -107.80526802616642)",580115.0,38_0_yes,35.0,6.033286503538092e-05,6.033286503538092e-05,1.0,6352.0,136.0,0.010949553105849703,0.00023443627556605156,91.32792821158691,4265.551470588235
YES,47.8781545791193,-116.37600974736937,50.77224176487269,44.982601981818206,-112.07744321656004,-120.6745762781787,39,0,"(47.878154579119304, -116.37600974736937)",2197567.0,39_0_yes,85.0,3.867913924808663e-05,3.867913924808663e-05,1.0,20042.0,390.0,0.009120085986001792,0.0001774689918441622,109.64808901307255,5634.78717948718
YES,48.2030444039014,-125.0,51.09696830274898,45.30765697339707,-120.6744229884065,-129.3255770115935,40,0,"(48.2030444039014, -125.0)",5581084.0,40_0_yes,196.0,3.511862570067034e-05,3.511862570067034e-05,1.0,65873.0,1200.0,0.01180290423867478,0.00021501199408573675,84.72491005419519,4650.903333333334
