Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Dealers_Total,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg
NO,25.384191312130984,-79.5487598811852,25.965270882501223,24.80306584529934,-78.90908221773236,-80.18843754463805,57,0,"(25.384191312130984, -79.5487598811852)",0.0,57_0_no,9,9.0,0.0,0.0,1.0
NO,25.3897548075011,-80.82814451776372,25.97083393482243,24.808629776487876,-80.18843754096747,-81.46785149455997,58,0,"(25.3897548075011, -80.82814451776372)",1091957.0,58_0_no,43,43.0,3.9378840009267766e-05,3.9378840009267766e-05,1.0
NO,25.39531969223717,-82.10758779705777,25.97639837633025,24.814195097221653,-81.46785149088706,-82.7473241032285,59,0,"(25.39531969223717, -82.10758779705777)",0.0,59_0_no,0,0.0,0.0,0.0,0.0
NO,25.462206851656287,-97.46549297655172,26.043280202995668,24.881087502624293,-96.82540346353284,-98.10558248957058,71,0,"(25.462206851656287, -97.46549297655172)",211323.0,71_0_no,3,3.0,1.4196277735977626e-05,1.4196277735977626e-05,1.0
NO,26.54190258191383,-80.39836882286617,27.122888503343347,25.960869297597885,-79.75240104851392,-81.04433659721843,104,0,"(26.54190258191383, -80.39836882286617)",3463091.0,104_0_no,76,76.0,2.194571265958648e-05,2.194571265958648e-05,1.0
NO,26.547757948216724,-81.69033716686646,27.128743388697263,25.966725137629982,-81.04433659303088,-82.33633774070204,105,0,"(26.547757948216724, -81.69033716686646)",1268277.0,105_0_no,41,41.0,3.232732281670329e-05,3.232732281670329e-05,1.0
NO,26.553614805140427,-82.98237112825282,27.134599764477397,25.972582468477665,-82.3363377365117,-83.62840451999395,106,0,"(26.553614805140427, -82.98237112825282)",0.0,106_0_no,2,2.0,0.0,0.0,1.0
NO,26.618138763558143,-97.19908601065616,27.199118417449597,26.03711165293661,-96.55269040239224,-97.84548161892008,117,0,"(26.618138763558143, -97.19908601065616)",110943.0,117_0_no,5,5.0,4.506818816869924e-05,4.506818816869924e-05,1.0
NO,26.624013549218265,-98.49191026294118,27.204992719624794,26.042986914864144,-97.84548161469628,-99.13833891118608,118,0,"(26.624013549218265, -98.49191026294118)",739115.0,118_0_no,15,15.0,2.0294541444836055e-05,2.0294541444836055e-05,1.0
NO,26.629889832389512,-99.784800613776,27.210868519115493,26.0488636744986,-99.13833890695946,-100.43126232059257,119,0,"(26.629889832389512, -99.78480061377601)",202.0,119_0_no,0,0.0,0.0,0.0,0.0
NO,27.693663974559133,-79.94186936305582,28.27455392930771,27.11272527569996,-79.28925322851975,-80.59448549759188,149,0,"(27.693663974559133, -79.94186936305582)",429415.0,149_0_no,15,15.0,3.493124366871209e-05,3.493124366871209e-05,1.0
NO,27.699815478621638,-81.24713821305778,28.2807049135992,27.118877292368413,-80.59448549282507,-81.89979093329049,150,0,"(27.699815478621634, -81.24713821305778)",714532.0,150_0_no,35,35.0,4.898311062345703e-05,4.898311062345703e-05,1.0
NO,27.7059685805326,-82.55248025557577,28.28685749552894,27.125030907095983,-81.89979092852042,-83.20516958263113,151,0,"(27.705968580532602, -82.55248025557577)",3420312.0,151_0_no,106,106.0,3.0991324768032856e-05,3.0991324768032856e-05,1.0
NO,27.77375832890849,-96.9160855398663,28.35464151021256,27.19282631038081,-96.26299213903263,-97.56917894069996,162,0,"(27.773758328908492, -96.9160855398663)",375021.0,162_0_no,12,12.0,3.1998208100346384e-05,3.1998208100346384e-05,1.0
NO,27.779930651221857,-98.22230919826347,28.360813310015445,27.19899914804508,-97.56917893589024,-98.8754394606367,163,0,"(27.779930651221857, -98.22230919826347)",159926.0,163_0_no,7,7.0,4.37702437377287e-05,4.37702437377287e-05,1.0
NO,27.786104579098065,-99.52860660106371,28.36698671516986,27.205173591483945,-98.87543945582368,-100.18177374630376,164,0,"(27.786104579098062, -99.52860660106371)",276391.0,164_0_no,3,3.0,1.0854188450419876e-05,1.0854188450419876e-05,1.0
NO,28.85147281592163,-80.7768210064896,29.432263643563036,28.270631936001397,-80.1171110332424,-81.4365309797368,195,0,"(28.85147281592163, -80.7768210064896)",1658353.0,195_0_no,55,55.0,3.3165435826992204e-05,3.3165435826992204e-05,1.0
NO,28.857928237430816,-82.0962816894221,29.438718505218887,28.277087910299876,-81.43653097431338,-82.75603240453081,196,0,"(28.857928237430816, -82.0962816894221)",1433428.0,196_0_no,57,57.0,3.976481553311363e-05,3.976481553311363e-05,1.0
NO,28.86438537178579,-83.41582388029283,29.4451750794942,28.28354559767116,-82.75603239910352,-84.07561536148215,197,0,"(28.86438537178579, -83.41582388029283)",1694.0,197_0_no,1,1.0,0.0005903187721369539,0.0005903187721369539,1.0
NO,28.89023105092615,-88.69480869284234,29.47101851605089,28.309393491148818,-88.03485390477134,-89.35476348091335,201,0,"(28.89023105092615, -88.69480869284234)",377.0,201_0_no,0,0.0,0.0,0.0,0.0
NO,28.896696759460703,-90.01475915099003,29.4774836633728,28.31585975383617,-89.35476347546654,-90.67475482651352,202,0,"(28.896696759460706, -90.01475915099003)",3294.0,202_0_no,0,0.0,0.0,0.0,0.0
NO,28.90316418482429,-91.33479140836856,29.48395052729688,28.322327733580124,-90.6747548210628,-91.99482799567429,203,0,"(28.90316418482429, -91.33479140836855)",0.0,203_0_no,0,0.0,0.0,0.0,0.0
NO,28.92257676854487,-95.29537946285508,29.503361425336816,28.34174198180821,-94.63521999403862,-95.95553893167153,206,0,"(28.92257676854487, -95.29537946285507)",402088.0,206_0_no,19,19.0,4.725333757784366e-05,4.725333757784366e-05,1.0
NO,28.9290510678824,-96.61573940430829,29.509835162326446,28.348216836437334,-95.95553892620512,-97.27593988241142,207,0,"(28.9290510678824, -96.61573940430827)",179333.0,207_0_no,8,8.0,4.460974834525715e-05,4.460974834525715e-05,1.0
NO,28.93552708738002,-97.9361813887535,29.51631061924885,28.354693411454598,-97.27593987694112,-98.59642290056588,208,0,"(28.93552708738002, -97.9361813887535)",229180.0,208_0_no,34,34.0,0.00014835500479972073,0.00014835500479972073,1.0
NO,28.94200482770522,-99.2567054650544,29.52278779677141,28.361171707527568,-98.59642289509162,-99.91698803501716,209,0,"(28.94200482770522, -99.2567054650544)",114245.0,209_0_no,12,12.0,0.00010503741958072564,0.00010503741958072564,1.0
NO,28.948484289525947,-100.57731168211188,29.52926669556199,28.367651725324293,-99.91698802953896,-101.23763533468475,210,0,"(28.948484289525947, -100.57731168211187)",62485.0,210_0_no,1,1.0,1.6003840921821237e-05,1.6003840921821237e-05,1.0
NO,28.961448380327777,-103.2187707342865,29.542229659620645,28.38061692876317,-102.55836484303944,-103.87917662553356,212,0,"(28.961448380327777, -103.2187707342865)",878.0,212_0_no,0,0.0,0.0,0.0,0.0
NO,28.96793301064689,-104.53962366739192,29.548713726226552,28.38710211574352,-103.87917662004352,-105.2000707147403,213,0,"(28.96793301064689, -104.53962366739191)",0.0,213_0_no,0,0.0,0.0,0.0,0.0
NO,30.00947412841978,-81.61254134530847,30.590163310405316,29.42873366841049,-80.94530505008291,-82.27977764053404,240,0,"(30.00947412841978, -81.61254134530847)",1569947.0,240_0_no,41,41.0,2.6115531288635858e-05,2.6115531288635858e-05,1.0
NO,30.01624021866662,-82.94705921366342,30.596928799718498,29.435500352675863,-82.27977763436871,-83.61434079295813,241,0,"(30.01624021866662, -82.94705921366342)",279630.0,241_0_no,16,16.0,5.7218467260308265e-05,5.7218467260308265e-05,1.0
NO,30.023008144761896,-84.28166767789787,30.60369612463732,29.44226887303349,-83.6143407867882,-84.94899456900754,242,0,"(30.023008144761896, -84.28166767789787)",326491.0,242_0_no,11,11.0,3.36915872106735e-05,3.36915872106735e-05,1.0
NO,30.029777907449382,-85.61636679352544,30.61046528590545,29.449039230227253,-84.948994562833,-86.2837390242179,243,0,"(30.029777907449386, -85.61636679352544)",207949.0,243_0_no,7,7.0,3.366209984178813e-05,3.366209984178813e-05,1.0
NO,30.036549507473374,-86.95115661610383,30.61723628426709,29.455811425001546,-86.28373901803873,-87.61857421416893,244,0,"(30.036549507473378, -86.95115661610383)",450200.0,244_0_no,21,21.0,4.664593513993781e-05,4.664593513993781e-05,1.0
