Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop
NO,25.478488696698665,-79.34515169312104,26.204821483483496,24.752084006984973,-78.54493555605532,-80.14536783018676,42,0,"(25.478488696698665, -79.34515169312104)",0.0
NO,25.48721942873241,-80.9456417491921,26.213551342379162,24.760815594502045,-80.14536781886123,-81.74591567952298,43,0,"(25.48721942873241, -80.9456417491921)",1891092.0
NO,25.495953573262632,-82.54624744128466,26.22228461322012,24.769550595066665,-81.74591566818613,-83.3465792143832,44,0,"(25.495953573262632, -82.54624744128466)",0.0
NO,25.57471473684009,-96.95691867004943,26.301037888732974,24.848319487809825,-96.15606407579556,-97.75777326430331,53,0,"(25.57471473684009, -96.95691867004943)",243629.0
NO,25.58348310657487,-98.5586861877808,26.309805379247422,24.85708871910908,-97.75777325285242,-99.35959912270917,54,0,"(25.58348310657487, -98.5586861877808)",336580.0
NO,26.924302608565615,-80.40546536564729,27.650488004914664,26.19804247903329,-79.59530550990797,-81.2156252213866,79,0,"(26.924302608565615, -80.40546536564729)",2566853.0
NO,26.933605244868968,-82.02585151864758,27.65978967505633,26.207346063904033,-81.2156252080408,-82.83607782925436,80,0,"(26.933605244868968, -82.02585151864758)",1805374.0
NO,27.017496863219453,-96.6153246455849,27.743672570472246,26.29124624688335,-95.804497584291,-97.42615170687881,89,0,"(27.017496863219453, -96.6153246455849)",0.0
NO,27.026836847281874,-98.23704580117436,27.753011582259422,26.3005871856364,-97.4261516933922,-99.04793990895652,90,0,"(27.026836847281874, -98.23704580117436)",276540.0
NO,27.03618057769433,-99.85890110925018,27.76235433978316,26.309931871353967,-99.04793989545573,-100.66986232304464,91,0,"(27.03618057769433, -99.85890110925018)",172824.0
NO,28.36069657779846,-79.82329747537214,29.086730217597598,27.634585583671406,-79.00248761988904,-80.64410733085525,115,0,"(28.36069657779846, -79.82329747537214)",67907.0
NO,28.370581758405486,-81.4649932272099,29.096614336312893,27.64447180880545,-80.64410731518024,-82.28587913923957,116,0,"(28.370581758405486, -81.4649932272099)",4059709.0
NO,28.3804710006674,-83.10684116191224,29.10650251601343,27.654362096266237,-82.28587912354729,-83.9278032002772,117,0,"(28.3804710006674, -83.10684116191224)",2278947.0
NO,28.449809625589662,-94.60404957694551,29.17583368422005,27.723708056428496,-93.78255269329412,-95.4255464605969,124,0,"(28.449809625589662, -94.60404957694551)",0.0
NO,28.459731448055233,-96.24712001600373,29.18575443875177,27.733630929483205,-95.4255464447656,-97.06869358724187,125,0,"(28.459731448055233, -96.24712001600373)",81114.0
NO,28.46965735395231,-97.89034390074396,29.195679276041552,27.743557886645156,-97.06869357139307,-98.71199423009485,126,0,"(28.46965735395231, -97.89034390074396)",220142.0
NO,28.479587345712385,-99.53372137230073,29.205608198520448,27.753488930346244,-98.71199421422853,-100.35544853037294,127,0,"(28.479587345712385, -99.53372137230073)",117128.0
NO,28.48952142576932,-101.17725257197382,29.21554120862191,27.763424063020786,-100.35544851448907,-101.99905662945858,128,0,"(28.48952142576932, -101.17725257197382)",938.0
NO,28.499459596559376,-102.82093764122848,29.22547830878178,27.773363287105454,-101.99905661355713,-103.64281866889984,129,0,"(28.499459596559376, -102.82093764122848)",0.0
NO,29.806838202425734,-80.86134132651024,30.53271408075066,29.0808825294269,-80.02898749269421,-81.69369516032627,151,0,"(29.806838202425734, -80.86134132651024)",774192.0
NO,29.817325686232106,-82.52613582450626,30.54320040320586,29.09137115762991,-81.69369514192388,-83.35857650708863,152,0,"(29.817325686232106, -82.52613582450626)",867402.0
NO,29.827817599385888,-84.1911041027367,30.553691154276542,29.10186421591591,-83.35857648866491,-85.0236317168085,153,0,"(29.827817599385888, -84.1911041027367)",306112.0
NO,29.838313944669423,-85.85624632674948,30.564186336744573,29.112361707067706,-85.0236316983634,-86.68886095513557,154,0,"(29.838313944669423, -85.85624632674948)",240187.0
NO,29.848814724867953,-87.52156266229625,30.57468595339477,29.122863633871024,-86.68886093666906,-88.35426438792344,155,0,"(29.848814724867953, -87.52156266229625)",382616.0
