zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
05148,43.24503,-72.81224,Londonderry,VT,Vermont,True,,1223.0,17.6,50025,Windham,"{""50025"": 63.83, ""50003"": 34.89, ""50027"": 1.28}",Windham|Bennington|Windsor,50025|50003|50027,False,False,America/New_York,"(43.24503, -72.81224)",3.2139547182827193,2438.0,42568_0_yes,43.23485374251258,-72.87454590663486,5.0
05152,43.251,-72.92008,Peru,VT,Vermont,True,,445.0,4.7,50003,Bennington,"{""50003"": 100}",Bennington,50003,False,False,America/New_York,"(43.251, -72.92008)",2.5489024764593897,2438.0,42568_0_yes,43.23485374251258,-72.87454590663486,5.0
05155,43.17717,-72.8228,South Londonderry,VT,Vermont,True,,770.0,14.1,50025,Windham,"{""50025"": 100}",Windham,50025,False,False,America/New_York,"(43.17717, -72.8228)",4.7619442296150725,2438.0,42568_0_yes,43.23485374251258,-72.87454590663486,5.0
