zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
60929,40.87601,-88.29242,Cullom,IL,Illinois,True,,627.0,6.3,17105,Livingston,"{""17105"": 88.65, ""17053"": 11.35}",Livingston|Ford,17105|17053,False,False,America/Chicago,"(40.87601, -88.29242)",1.892658515090908,2137.0,37759_0_no,40.85899729954004,-88.26402990044387,5.0
60946,40.91307,-88.20072,Kempton,IL,Illinois,True,,457.0,4.0,17053,Ford,"{""17053"": 82.39, ""17105"": 17.61}",Ford|Livingston,17053|17105,False,False,America/Chicago,"(40.91307, -88.20072)",4.989450850978029,2137.0,37759_0_no,40.85899729954004,-88.26402990044387,5.0
60959,40.7895,-88.1832,Piper City,IL,Illinois,True,,1053.0,7.4,17053,Ford,"{""17053"": 95.08, ""17105"": 4.92}",Ford|Livingston,17053|17105,False,False,America/Chicago,"(40.7895, -88.1832)",6.396680687998009,2137.0,37759_0_no,40.85899729954004,-88.26402990044387,5.0
