zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
93223,36.30117,-119.20789,Farmersville,CA,California,True,,10842.0,1349.1,6107,Tulare,"{""06107"": 100}",Tulare,06107,False,False,America/Los_Angeles,"(36.30117, -119.20789)",3.3928046799729503,58172.0,27724_0_yes,36.31833214873429,-119.26498392051644,5.0
93235,36.38507,-119.22314,Ivanhoe,CA,California,True,,4561.0,424.5,6107,Tulare,"{""06107"": 100}",Tulare,06107,False,False,America/Los_Angeles,"(36.38507, -119.22314)",5.165714617656031,58172.0,27724_0_yes,36.31833214873429,-119.26498392051644,5.0
93292,36.3763,-119.22183,Visalia,CA,California,True,,42769.0,143.9,6107,Tulare,"{""06107"": 100}",Tulare,06107,False,False,America/Los_Angeles,"(36.3763, -119.22183)",4.670009825911811,58172.0,27724_0_yes,36.31833214873429,-119.26498392051644,5.0
