zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
25022,37.84157,-81.79241,Blair,WV,West Virginia,True,,323.0,5.8,54045,Logan,"{""54045"": 100}",Logan,54045,False,False,America/New_York,"(37.84157, -81.79241)",2.1932683340464934,3566.0,31086_0_no,37.81176844789496,-81.77856916569768,5.0
25606,37.76641,-81.82878,Accoville,WV,West Virginia,True,,1346.0,71.9,54045,Logan,"{""54045"": 100}",Logan,54045,False,False,America/New_York,"(37.76641, -81.82878)",4.163935954375843,3566.0,31086_0_no,37.81176844789496,-81.77856916569768,5.0
25607,37.78125,-81.77081,Amherstdale,WV,West Virginia,True,,847.0,25.8,54045,Logan,"{""54045"": 100}",Logan,54045,False,False,America/New_York,"(37.78125, -81.77081)",2.1507569246656226,3566.0,31086_0_no,37.81176844789496,-81.77856916569768,5.0
25617,37.74549,-81.80275,Davin,WV,West Virginia,True,,824.0,44.0,54045,Logan,"{""54045"": 100}",Logan,54045,False,False,America/New_York,"(37.74549, -81.80275)",4.765996834226167,3566.0,31086_0_no,37.81176844789496,-81.77856916569768,5.0
25628,37.7657,-81.86237,Kistler,WV,West Virginia,True,,226.0,40.2,54045,Logan,"{""54045"": 100}",Logan,54045,False,False,America/New_York,"(37.7657, -81.86237)",5.573980917976103,3566.0,31086_0_no,37.81176844789496,-81.77856916569768,5.0
