zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
45106,38.94633,-84.06831,Bethel,OH,Ohio,True,,13014.0,68.2,39025,Clermont,"{""39025"": 79.14, ""39015"": 20.86}",Clermont|Brown,39025|39015,False,False,America/New_York,"(38.94633, -84.06831)",5.247463470360713,25642.0,33364_0_yes,38.9000352444562,-83.9909229068849,5.0
45121,38.86769,-83.90911,Georgetown,OH,Ohio,True,,8615.0,31.1,39015,Brown,"{""39015"": 95.19, ""39025"": 4.81}",Brown|Clermont,39015|39025,False,False,America/New_York,"(38.86769, -83.90911)",4.935209096688356,25642.0,33364_0_yes,38.9000352444562,-83.9909229068849,5.0
45130,38.90886,-83.99897,Hamersville,OH,Ohio,True,,4013.0,40.8,39015,Brown,"{""39015"": 82.61, ""39025"": 17.39}",Brown|Clermont,39015|39025,False,False,America/New_York,"(38.90886, -83.99897)",0.7476517555237184,25642.0,33364_0_yes,38.9000352444562,-83.9909229068849,5.0
