zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
41030,38.78582,-84.58754,Crittenden,KY,Kentucky,True,,5981.0,70.8,21081,Grant,"{""21081"": 62.27, ""21117"": 29.19, ""21015"": 7.74, ""21191"": 0.8}",Grant|Kenton|Boone|Pendleton,21081|21117|21015|21191,False,False,America/New_York,"(38.78582, -84.58754)",3.0713474517716923,20809.0,33049_0_yes,38.75567310806304,-84.62943956701628,5.0
41035,38.70322,-84.66141,Dry Ridge,KY,Kentucky,True,,11492.0,43.4,21081,Grant,"{""21081"": 96.98, ""21191"": 1.51, ""21187"": 1.51}",Grant|Pendleton|Owen,21081|21191|21187,False,False,America/New_York,"(38.70322, -84.66141)",4.012985409668389,20809.0,33049_0_yes,38.75567310806304,-84.62943956701628,5.0
41092,38.81811,-84.70115,Verona,KY,Kentucky,True,,3336.0,33.7,21015,Boone,"{""21015"": 64.91, ""21077"": 33.23, ""21081"": 1.86}",Boone|Gallatin|Grant,21015|21077|21081,False,False,America/New_York,"(38.81811, -84.70115)",5.790190316695624,20809.0,33049_0_yes,38.75567310806304,-84.62943956701628,5.0
