zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
12028,42.94545,-73.44213,Buskirk,NY,New York,True,,707.0,11.5,36115,Washington,"{""36115"": 52.78, ""36083"": 47.22}",Washington|Rensselaer,36115|36083,False,False,America/New_York,"(42.94545, -73.44213)",3.6371445902329738,8223.0,41973_0_yes,42.94592243243525,-73.51404101151412,5.0
12094,42.89091,-73.48737,Johnsonville,NY,New York,True,,2260.0,27.5,36083,Rensselaer,"{""36083"": 85.42, ""36115"": 14.58}",Rensselaer|Washington,36083|36115,False,False,America/New_York,"(42.89091, -73.48737)",4.033458006026362,8223.0,41973_0_yes,42.94592243243525,-73.51404101151412,5.0
12154,42.93713,-73.60124,Schaghticoke,NY,New York,True,,3249.0,29.4,36083,Rensselaer,"{""36083"": 55.53, ""36115"": 44.47}",Rensselaer|Washington,36083|36115,False,False,America/New_York,"(42.93713, -73.60124)",4.452148092993151,8223.0,41973_0_yes,42.94592243243525,-73.51404101151412,5.0
12185,42.90102,-73.53507,Valley Falls,NY,New York,True,,2007.0,34.0,36083,Rensselaer,"{""36083"": 75.86, ""36115"": 24.14}",Rensselaer|Washington,36083|36115,False,False,America/New_York,"(42.90102, -73.53507)",3.279827946217529,8223.0,41973_0_yes,42.94592243243525,-73.51404101151412,5.0
