zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
39067,33.11574,-89.44853,Ethel,MS,Mississippi,True,,1166.0,4.4,28007,Attala,"{""28007"": 100}",Attala,28007,False,False,America/Chicago,"(33.11574, -89.44853)",12.091325506532652,6339.0,5249_0_no,33.22718867143803,-89.60972068096852,10.0
39176,33.30398,-89.74859,Vaiden,MS,Mississippi,True,,2592.0,7.4,28015,Carroll,"{""28015"": 68.61, ""28007"": 20.95, ""28097"": 10.44}",Carroll|Attala|Montgomery,28015|28007|28097,False,False,America/Chicago,"(33.30398, -89.74859)",9.618466579050224,6339.0,5249_0_no,33.22718867143803,-89.60972068096852,10.0
39192,33.19153,-89.75324,West,MS,Mississippi,True,,1895.0,5.0,28007,Attala,"{""28007"": 57.22, ""28051"": 29.55, ""28015"": 13.23}",Attala|Holmes|Carroll,28007|28051|28015,False,False,America/Chicago,"(33.19153, -89.75324)",8.654762336432926,6339.0,5249_0_no,33.22718867143803,-89.60972068096852,10.0
39745,33.29984,-89.46277,French Camp,MS,Mississippi,True,,686.0,4.3,28007,Attala,"{""28007"": 37.14, ""28019"": 35.15, ""28097"": 27.7}",Attala|Choctaw|Montgomery,28007|28019|28097,False,False,America/Chicago,"(33.29984, -89.46277)",9.862751494073493,6339.0,5249_0_no,33.22718867143803,-89.60972068096852,10.0
