zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
87511,36.08905,-105.96448,Alcalde,NM,New Mexico,True,,1837.0,13.8,35039,Rio Arriba,"{""35039"": 100}",Rio Arriba,35039,False,False,America/Denver,"(36.08905, -105.96448)",8.52622812458548,27578.0,6819_0_yes,36.00439008365801,-106.0755211944735,10.0
87532,35.97965,-106.1048,Espanola,NM,New Mexico,True,,19073.0,67.3,35039,Rio Arriba,"{""35039"": 75.13, ""35049"": 24.87}",Rio Arriba|Santa Fe,35039|35049,False,False,America/Denver,"(35.97965, -106.1048)",2.366650472292118,27578.0,6819_0_yes,36.00439008365801,-106.0755211944735,10.0
87537,36.1043,-106.2454,Hernandez,NM,New Mexico,True,,2850.0,7.8,35039,Rio Arriba,"{""35039"": 100}",Rio Arriba,35039,False,False,America/Denver,"(36.1043, -106.2454)",11.734550287778822,27578.0,6819_0_yes,36.00439008365801,-106.0755211944735,10.0
87566,36.07242,-106.07185,Ohkay Owingeh,NM,New Mexico,True,,2932.0,51.7,35039,Rio Arriba,"{""35039"": 100}",Rio Arriba,35039,False,False,America/Denver,"(36.07242, -106.07185)",4.704892594707273,27578.0,6819_0_yes,36.00439008365801,-106.0755211944735,10.0
87567,35.99401,-106.01872,Santa Cruz,NM,New Mexico,True,,886.0,120.9,35049,Santa Fe,"{""35049"": 100}",Santa Fe,35049,False,False,America/Denver,"(35.99401, -106.01872)",3.255084179458463,27578.0,6819_0_yes,36.00439008365801,-106.0755211944735,10.0
