zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
64723,38.3615,-94.55298,Amsterdam,MO,Missouri,True,,733.0,5.5,29013,Bates,"{""29013"": 100}",Bates,29013,False,False,America/Chicago,"(38.3615, -94.55298)",6.533468605186678,13201.0,8244_0_no,38.45000722068615,-94.59545843015896,10.0
64742,38.50034,-94.54329,Drexel,MO,Missouri,True,,2189.0,11.0,29037,Cass,"{""29037"": 68.88, ""29013"": 31.12}",Cass|Bates,29037|29013,False,False,America/Chicago,"(38.50034, -94.54329)",4.478520618779047,13201.0,8244_0_no,38.45000722068615,-94.59545843015896,10.0
66040,38.35396,-94.73949,La Cygne,KS,Kansas,True,,3312.0,9.5,20107,Linn,"{""20107"": 71.27, ""20121"": 28.73}",Linn|Miami,20107|20121,False,False,America/Chicago,"(38.35396, -94.73949)",10.240167952511642,13201.0,8244_0_no,38.45000722068615,-94.59545843015896,10.0
66053,38.57753,-94.67029,Louisburg,KS,Kansas,True,,6967.0,25.9,20121,Miami,"{""20121"": 100}",Miami,20121,False,False,America/Chicago,"(38.57753, -94.67029)",9.695375566920648,13201.0,8244_0_no,38.45000722068615,-94.59545843015896,10.0
