zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
78008,28.72478,-98.25911,Campbellton,TX,Texas,True,,351.0,1.3,48013,Atascosa,"{""48013"": 92.54, ""48297"": 7.46}",Atascosa|Live Oak,48013|48297,False,False,America/Chicago,"(28.72478, -98.25911)",9.880279878286453,4994.0,2471_0_no,28.598720967455748,-98.18217093449796,10.0
78071,28.47756,-98.19733,Three Rivers,TX,Texas,True,,4394.0,5.4,48297,Live Oak,"{""48297"": 89.55, ""48311"": 10.45}",Live Oak|McMullen,48297|48311,False,False,America/Chicago,"(28.47756, -98.19733)",8.421841161128269,4994.0,2471_0_no,28.598720967455748,-98.18217093449796,10.0
78075,28.58862,-98.26823,Whitsett,TX,Texas,True,,249.0,1.4,48297,Live Oak,"{""48297"": 94.8, ""48311"": 5.2}",Live Oak|McMullen,48297|48311,False,False,America/Chicago,"(28.58862, -98.26823)",5.26734254306679,4994.0,2471_0_no,28.598720967455748,-98.18217093449796,10.0
