zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
32567,30.92207,-86.43396,Laurel Hill,FL,Florida,True,,3325.0,8.8,12091,Okaloosa,"{""12091"": 65.23, ""12131"": 34.77}",Okaloosa|Walton,12091|12131,False,False,America/Chicago,"(30.92207, -86.43396)",11.13913115000085,13348.0,3861_0_yes,31.048975640306043,-86.54994086298113,10.0
36420,31.18092,-86.57618,Andalusia,AL,Alabama,True,,9552.0,13.8,1039,Covington,"{""01039"": 80.27, ""01053"": 19.73}",Covington|Escambia,01039|01053,False,False,America/Chicago,"(31.18092, -86.57618)",9.24767150729634,13348.0,3861_0_yes,31.048975640306043,-86.54994086298113,10.0
36483,31.04273,-86.68494,Wing,AL,Alabama,True,,471.0,1.7,1039,Covington,"{""01039"": 54.83, ""01053"": 45.17}",Covington|Escambia,01039|01053,False,False,America/Chicago,"(31.04273, -86.68494)",8.003067646430912,13348.0,3861_0_yes,31.048975640306043,-86.54994086298113,10.0
