zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
27209,35.34254,-79.74936,Biscoe,NC,North Carolina,True,,4514.0,37.3,37123,Montgomery,"{""37123"": 68.46, ""37125"": 31.54}",Montgomery|Moore,37123|37125,False,False,America/New_York,"(35.34254, -79.74936)",11.514721551567094,14050.0,6404_0_no,35.24154961657256,-79.91177913379673,10.0
27229,35.24853,-79.79873,Candor,NC,North Carolina,True,,3310.0,14.1,37123,Montgomery,"{""37123"": 97.25, ""37153"": 2.75}",Montgomery|Richmond,37123|37153,False,False,America/New_York,"(35.24853, -79.79873)",6.397343457549871,14050.0,6404_0_no,35.24154961657256,-79.91177913379673,10.0
27306,35.22098,-79.97685,Mount Gilead,NC,North Carolina,True,,6226.0,13.0,37123,Montgomery,"{""37123"": 77.29, ""37153"": 22.71}",Montgomery|Richmond,37123|37153,False,False,America/New_York,"(35.22098, -79.97685)",3.9378570740510885,14050.0,6404_0_no,35.24154961657256,-79.91177913379673,10.0
