zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
03598,44.37998,-71.63179,Whitefield,NH,New Hampshire,True,,3173.0,20.0,33007,Coos,"{""33007"": 100}",Coos,33007,False,False,America/New_York,"(44.37998, -71.63179)",10.862587042114365,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
05819,44.40397,-71.98837,Saint Johnsbury,VT,Vermont,True,,8980.0,39.1,50005,Caledonia,"{""50005"": 100}",Caledonia,50005,False,False,America/New_York,"(44.40397, -71.98837)",11.436148966900218,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
05824,44.43741,-71.86449,Concord,VT,Vermont,True,,1090.0,8.2,50009,Essex,"{""50009"": 68.97, ""50005"": 31.03}",Essex|Caledonia,50009|50005,False,False,America/New_York,"(44.43741, -71.86449)",5.145945331859378,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
05832,44.59546,-71.91027,East Burke,VT,Vermont,True,,1079.0,16.6,50005,Caledonia,"{""50005"": 99.89, ""50009"": 0.11}",Caledonia|Essex,50005|50009,False,False,America/New_York,"(44.59546, -71.91027)",9.42517911444568,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
05858,44.53587,-71.8046,North Concord,VT,Vermont,True,,417.0,2.5,50009,Essex,"{""50009"": 100}",Essex,50009,False,False,America/New_York,"(44.53587, -71.8046)",3.2892355522976766,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
05904,44.41597,-71.70762,Gilman,VT,Vermont,True,,192.0,134.8,50009,Essex,"{""50009"": 100}",Essex,50009,False,False,America/New_York,"(44.41597, -71.70762)",6.49703021951282,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
05906,44.47431,-71.71538,Lunenburg,VT,Vermont,True,,1411.0,11.2,50009,Essex,"{""50009"": 100}",Essex,50009,False,False,America/New_York,"(44.47431, -71.71538)",3.8160740176606502,16342.0,11402_0_no,44.48944441983371,-71.78982804502073,10.0
