zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Coord,distance_miles,market_total_population,market_id,market_center_lat,market_center_lng,radius_miles
97838,45.85266,-119.28878,Hermiston,OR,Oregon,True,,26071.0,49.7,41059,Umatilla,"{""41059"": 75.52, ""41049"": 24.48}",Umatilla|Morrow,41059|41049,False,False,America/Los_Angeles,"(45.85266, -119.28878)",4.788991491762749,36914.0,12109_0_yes,45.876321125574094,-119.1952244151588,10.0
97875,45.81481,-119.14898,Stanfield,OR,Oregon,True,,2885.0,19.1,41059,Umatilla,"{""41059"": 100}",Umatilla,41059,False,False,America/Los_Angeles,"(45.81481, -119.14898)",4.797559258513864,36914.0,12109_0_yes,45.876321125574094,-119.1952244151588,10.0
97882,45.90741,-119.34944,Umatilla,OR,Oregon,True,,7958.0,163.1,41059,Umatilla,"{""41059"": 100}",Umatilla,41059,False,False,America/Los_Angeles,"(45.90741, -119.34944)",7.721046314432732,36914.0,12109_0_yes,45.876321125574094,-119.1952244151588,10.0
