Primary_Row,Lat,Lng,North_Bound,South_Bound,East_Bound,West_Bound,y,x,Coord,Center_Pop,market_id,Market_Units_Total,Dealers_to_CenterPop_Ratio,Units_to_CenterPop_Ratio,Units_per_Dealer_Avg,Market_Inventory_Total,Market_Dealers_Total,Inventory_per_Person,Dealers_per_Person,People_per_Car,People_per_Dealer
NO,25.97515766559557,-81.53979856839742,27.42764892642458,24.52237486649668,-79.93276547623267,-83.14683166056216,4,0,"(25.97515766559557, -81.53979856839742)",7237743.0,4_0_no,195.0,2.6942100596829705e-05,2.6942100596829705e-05,1.0,82354.0,1729.0,0.011378408987442632,0.00023888662529189002,87.88574932608009,4186.0861769809135
NO,26.154398411240752,-97.62232515383492,27.60685291325756,24.701650958694724,-96.01284574880783,-99.231804558862,9,0,"(26.154398411240752, -97.62232515383492)",1446243.0,9_0_no,25.0,1.7286168368662803e-05,1.7286168368662803e-05,1.0,5148.0,144.0,0.003559567790475045,9.956832980349775e-05,280.93298368298366,10043.354166666666
NO,26.19041675700838,-100.8417779546274,27.64286385196736,24.737676429126303,-99.23180416677724,-102.45175174247755,10,0,"(26.19041675700838, -100.8417779546274)",0.0,10_0_no,3.0,0.0,0.0,1.0,674.0,19.0,0.0,0.0,0.0,0.0
NO,28.81900631672668,-80.43137900691353,30.270895276290364,27.366804809677603,-78.78270463564321,-82.08005337818385,22,0,"(28.81900631672668, -80.43137900691353)",4798752.0,22_0_no,148.0,3.08413520848754e-05,3.08413520848754e-05,1.0,49749.0,1285.0,0.010367070438313962,0.0002677779556017898,96.45926551287464,3734.437354085603
NO,28.859341392288503,-83.7293628002059,30.311221529878427,27.40714843115824,-82.08005284944785,-85.37867275096396,23,0,"(28.859341392288503, -83.7293628002059)",2949266.0,23_0_no,141.0,4.780850557392924e-05,4.780850557392924e-05,1.0,42391.0,905.0,0.014373406806981804,0.0003068560109532338,69.57292821589488,3258.857458563536
NO,28.89974342942016,-87.02862011576408,30.35161472297559,27.44755903643946,-85.37867221985341,-88.67856801167476,24,0,"(28.89974342942016, -87.02862011576408)",0.0,24_0_no,8.0,0.0,0.0,1.0,1156.0,39.0,0.0,0.0,0.0,0.0
NO,28.94021259040916,-90.32915569616986,30.39207501781459,27.48803678786615,-88.67856747817558,-91.97974391416416,25,0,"(28.940212590409157, -90.32915569616986)",1507336.0,25_0_no,57.0,3.781505915071358e-05,3.781505915071358e-05,1.0,11154.0,235.0,0.00739980999591332,0.00015590419123539807,135.13860498475884,6414.195744680851
NO,28.98074903819443,-93.63097430660754,30.432602577279425,27.52858184843473,-91.97974337826211,-95.28220523495295,26,0,"(28.98074903819443, -93.63097430660754)",1186169.0,26_0_no,81.0,6.828706533386052e-05,6.828706533386052e-05,1.0,19450.0,387.0,0.016397326182019594,0.00032626042326177804,60.98555269922879,3065.0361757105943
NO,29.021352936370217,-96.93408073500542,30.473197564909285,27.569194381797104,-95.2822046966338,-98.58595677337703,27,0,"(29.021352936370217, -96.93408073500542)",5229142.0,27_0_no,263.0,5.02950579655324e-05,5.02950579655324e-05,1.0,73673.0,1855.0,0.014088927017089994,0.0003547427092245726,70.97772589686859,2818.944474393531
NO,29.062024449190016,-100.23847979217835,30.513860144902463,27.609874552264568,-98.58595623262634,-101.8910033517304,28,0,"(29.062024449190016, -100.23847979217837)",833256.0,28_0_no,22.0,2.640245014737368e-05,2.640245014737368e-05,1.0,6322.0,146.0,0.0075871040832589266,0.0001752162600689344,131.80259411578615,5707.232876712329
NO,29.102763741570552,-103.54417631197155,30.55459048212037,27.650622524811794,-101.89100280853364,-105.1973498154095,29,0,"(29.102763741570552, -103.54417631197157)",16028.0,29_0_no,1.0,6.239081607187422e-05,6.239081607187422e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,31.658250565169528,-79.14983587798481,33.10950145854979,30.206669251817065,-77.45310307785039,-80.84656867811924,39,0,"(31.658250565169528, -79.14983587798481)",348975.0,39_0_no,22.0,6.304176516942474e-05,6.304176516942474e-05,1.0,6865.0,131.0,0.01967189626764095,0.0003753850562361201,50.83394027676621,2663.9312977099235
NO,31.703431028141736,-82.54412218079602,33.15467150502362,30.25185987292162,-80.84656795461271,-84.24167640697934,40,0,"(31.703431028141736, -82.54412218079602)",2190994.0,40_0_no,130.0,5.933380009256073e-05,5.933380009256073e-05,1.0,28486.0,607.0,0.013001404841820653,0.000277043205047572,76.9147651477919,3609.5453047775945
NO,31.748690886735098,-85.94005463264126,33.199920921107285,30.297129916036667,-84.24167567986615,-87.63843358541638,41,0,"(31.748690886735098, -85.94005463264126)",2016697.0,41_0_no,132.0,6.545356094643866e-05,6.545356094643866e-05,1.0,20330.0,505.0,0.010080840106371954,0.0002504094566511479,99.19808165272995,3993.459405940594
NO,31.794030356826354,-89.33763985207936,33.24524992261326,30.342479597106987,-87.63843285467233,-91.0368468494864,42,0,"(31.794030356826354, -89.33763985207936)",2048135.0,42_0_no,124.0,6.054288413605548e-05,6.054288413605548e-05,1.0,21575.0,534.0,0.01053397359060804,0.0002607250010375293,94.93093858632676,3835.4588014981273
NO,31.83944965528773,-92.73688449278684,33.29065872634935,30.38790913307304,-91.03684611508704,-94.43692287048664,43,0,"(31.83944965528773, -92.73688449278684)",1520125.0,43_0_no,84.0,5.525861360085519e-05,5.525861360085519e-05,1.0,12149.0,310.0,0.007992105912342735,0.00020393059781267987,125.1234669520125,4903.629032258064
NO,31.88494899999368,-96.13779524380628,33.33614755012543,30.43341874187772,-94.43692213240736,-97.8386683552052,44,0,"(31.88494899999368, -96.13779524380628)",8541140.0,44_0_no,294.0,3.44216345827372e-05,3.44216345827372e-05,1.0,81426.0,1925.0,0.009533387814741359,0.0002253797502441126,104.89450544052268,4436.955844155844
NO,31.93052860982783,-99.54037882979684,33.3817166127604,30.479008642473204,-97.83866761342117,-101.24209004617256,45,0,"(31.93052860982783, -99.54037882979685)",569325.0,45_0_no,40.0,7.025863961709042e-05,7.025863961709042e-05,1.0,5248.0,122.0,0.009217933517762263,0.00021428885083212576,108.4841844512195,4666.598360655737
NO,31.97618870468984,-102.94464201128716,33.42736613408901,30.524679054827928,-101.24208930065866,-104.64719472191568,46,0,"(31.97618870468984, -102.94464201128717)",639544.0,46_0_no,24.0,3.752673780068299e-05,3.752673780068299e-05,1.0,4217.0,77.0,0.006593760554395006,0.00012039828377719125,151.65852501778517,8305.766233766233
NO,32.02192950550239,-106.35059158493046,33.47309633496893,30.57043019993352,-104.64719397264663,-108.05398919721426,47,0,"(32.02192950550239, -106.35059158493046)",1165698.0,47_0_no,26.0,2.2304233171885e-05,2.2304233171885e-05,1.0,8050.0,183.0,0.006905733732064394,0.00015698748732519057,144.8072049689441,6369.934426229508
NO,32.067751234218264,-109.75823438376192,33.51890743728772,30.61626229981187,-108.05398844416456,-111.46248032335927,48,0,"(32.067751234218264, -109.75823438376193)",1299679.0,48_0_no,24.0,1.84660981673167e-05,1.84660981673167e-05,1.0,8393.0,168.0,0.006457748413262044,0.0001292626871712169,154.85273442154175,7736.184523809524
NO,32.1136541138274,-113.16757727745868,33.564799663969985,30.66217557752223,-111.46247956650322,-114.87267498841416,49,0,"(32.1136541138274, -113.16757727745869)",534812.0,49_0_no,62.0,0.0001159285879897,0.0001159285879897,1.0,27471.0,579.0,0.051365713559157235,0.0010826234265498905,19.468239234101414,923.6822107081174
